,ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
154,155,262, (21.3;-11.9;-16.4),"[""None"": 1.00]",Hippocampus_R,"[""Right ParaHippocampal Gyrus"": 0.44][""Right Hippocampus"": 0.31][""None"": 0.13][""Right Amygdala"": 0.11]","[""Right Parahippocampal Gyrus"": 0.76][""Right Uncus"": 0.12]","[""Right Hippocampus"": 0.43][""Right Amygdala"": 0.31][""Right Parahippocampal Gyrus; anterior division"": 0.18]"
155,156,234, (-33.9;-53.8;49.5),"[""None"": 0.87]",Parietal_Inf_L,"[""Left Inferior Parietal Lobule "": 0.75][""Left Angular Gyrus"": 0.15]","[""Left Inferior Parietal Lobule"": 0.45][""Left Superior Parietal Lobule"": 0.34]","[""Left Superior Parietal Lobule"": 0.56][""Left Lateral Occipital Cortex; superior division"": 0.21][""Left Angular Gyrus"": 0.12]"
156,157,224, (54.2;-11.9;39.3),"[""None"": 0.89]",Postcentral_R,"[""Right Postcentral Gyrus"": 0.69][""RightPrecentral Gyrus"": 0.24]","[""Right Precentral Gyrus"": 0.70][""Right Postcentral Gyrus"": 0.29]","[""Right Postcentral Gyrus"": 0.61][""Right Precentral Gyrus"": 0.38]"
157,158,236, (-21.1;-91.8;-12.1),"[""None"": 1.00]",Occipital_Inf_L,"[""Left Lingual Gyrus"": 0.47][""Left Inferior Occipital Gyrus"": 0.20][""Left Cerebellum"": 0.20]","[""Left Lingual Gyrus"": 0.30][""Left Inferior Occipital Gyrus"": 0.25][""Left Fusiform Gyrus"": 0.20]","[""Left Occipital Pole"": 0.48][""Left Occipital Fusiform Gyrus"": 0.36]"
158,159,235, (-35.8;-78.1;-14.9),"[""None"": 0.99]",Occipital_Inf_L,"[""Left Cerebellum"": 0.42][""Left Inferior Occipital Gyrus"": 0.27][""Left Fusiform Gyrus"": 0.25]","[""Left Declive"": 0.34][""Left Fusiform Gyrus"": 0.23][""Left Tuber"": 0.12][""Left Uvula"": 0.11]","[""Left Occipital Fusiform Gyrus"": 0.41][""Left Lateral Occipital Cortex; inferior division"": 0.35][""None"": 0.24]"
159,160,157, (0.1;20.4;-8.0),"[""None"": 1.00]",Olfactory_L,"[""Left Olfactory cortex"": 0.21][""Left Rectal Gyrus"": 0.21][""Right Olfactory cortex"": 0.15][""Right Mid Orbital Gyrus"": 0.15]","[""Right Anterior Cingulate"": 0.25][""Left Subcallosal Gyrus"": 0.22][""Left Anterior Cingulate"": 0.18][""Right Subcallosal Gyrus"": 0.17]","[""Right Subcallosal Cortex"": 0.57][""Left Subcallosal Cortex"": 0.35]"
160,161,215, (10.6;1.3;65.9),"[""None"": 1.00]",Supp_Motor_Area_R,"[""Right SMA"": 0.79][""Right Superior Frontal Gyrus"": 0.21]","[""Right Superior Frontal Gyrus"": 0.55][""Right Medial Frontal Gyrus"": 0.25][""None"": 0.15]","[""Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)"": 0.51][""Right Superior Frontal Gyrus"": 0.49]"
161,162,229, (-9.2;-44.0;-24.1),"[""None"": 1.00]",Cerebelum_4_5_L,"[""Left Cerebellum"": 0.42][""None"": 0.17][""Left Cerebellum"": 0.15][""Cerebellar Vermis"": 0.11]","[""Left Culmen"": 0.43][""None"": 0.22][""Left Nodule"": 0.15][""Left Cerebellar Tonsil"": 0.11]","[""None"": 0.97]"
162,163,266, (10.3;-63.5;56.2),"[""None"": 1.00]",Precuneus_R,"[""Right Precuneus"": 0.72][""Right Superior Parietal Lobule "": 0.23]","[""Right Precuneus"": 0.68][""Right Superior Parietal Lobule"": 0.17][""None"": 0.11]","[""Right Precuneous Cortex"": 0.62][""Right Lateral Occipital Cortex; superior division"": 0.35]"
163,164,248, (51.9;21.0;21.1),"[""None"": 0.92]",Frontal_Inf_Tri_R,"[""Right Inferior Frontal Gyrus (p. Triangularis)"": 0.67][""Right Inferior Frontal Gyrus (p. Opercularis)"": 0.28]","[""Right Inferior Frontal Gyrus"": 0.55][""Right Middle Frontal Gyrus"": 0.42]","[""Right Inferior Frontal Gyrus; pars opercularis"": 0.47][""Right Middle Frontal Gyrus"": 0.27][""Right Inferior Frontal Gyrus; pars triangularis"": 0.19]"
164,165,167, (-54.1;7.2;18.2),"[""None"": 0.86][""vFC"": 0.11]",Frontal_Inf_Oper_L,"[""Left Inferior Frontal Gyrus (p. Opercularis)"": 0.73][""Left Precentral Gyrus"": 0.11]","[""Left Inferior Frontal Gyrus"": 0.57][""Left Precentral Gyrus"": 0.41]","[""Left Precentral Gyrus"": 0.63][""Left Inferior Frontal Gyrus; pars opercularis"": 0.37]"
165,166,252, (44.9;-65.5;39.3),"[""None"": 0.91]",Angular_R,"[""Right Angular Gyrus"": 0.66][""Right Middle Occipital Gyrus"": 0.28]","[""Right Angular Gyrus"": 0.32][""Right Inferior Parietal Lobule"": 0.31][""Right Precuneus"": 0.19][""Right Middle Temporal Gyrus"": 0.11]","[""Right Lateral Occipital Cortex; superior division"": 0.91]"
166,167,212, (-25.3;52.0;22.9),"[""None"": 0.91]",Frontal_Mid_L,"[""Left Middle Frontal Gyrus"": 0.59][""Left Superior Frontal Gyrus"": 0.41]","[""Left Superior Frontal Gyrus"": 0.71][""Left Middle Frontal Gyrus"": 0.29]","[""Left Frontal Pole"": 1.00]"
167,168,203, (32.9;44.6;28.1),"[""None"": 0.85]",Frontal_Mid_R,"[""Right Middle Frontal Gyrus"": 0.95]","[""Right Superior Frontal Gyrus"": 0.58][""Right Middle Frontal Gyrus"": 0.42]","[""Right Frontal Pole"": 0.97]"
168,169,119, (-40.9;48.7;-3.4),"[""None"": 0.87][""vent aPFC"": 0.13]",Frontal_Mid_Orb_L,"[""Left Middle Orbital Gyrus"": 0.57][""Left Inferior Frontal Gyrus (p. Orbitalis)"": 0.25]","[""Left Middle Frontal Gyrus"": 0.76][""Left Inferior Frontal Gyrus"": 0.23]","[""Left Frontal Pole"": 1.00]"
169,170,222, (33.3;-78.1;31.1),"[""None"": 0.90]",Occipital_Mid_R,"[""Right Middle Occipital Gyrus"": 0.69][""Right Superior Occipital Gyrus"": 0.31]","[""Right Precuneus"": 0.29][""Right Cuneus"": 0.25][""Right Superior Occipital Gyrus"": 0.23][""Right Middle Temporal Gyrus"": 0.15]","[""Right Lateral Occipital Cortex; superior division"": 1.00]"
170,171,220, (-42.5;-38.0;47.8),"[""None"": 0.82]",Parietal_Inf_L,"[""Left Inferior Parietal Lobule "": 0.81][""Left Postcentral Gyrus"": 0.11]","[""Left Inferior Parietal Lobule"": 0.68][""Left Postcentral Gyrus"": 0.18]","[""Left Postcentral Gyrus"": 0.35][""Left Supramarginal Gyrus; anterior division"": 0.29][""Left Superior Parietal Lobule"": 0.22][""Left Supramarginal Gyrus; posterior division"": 0.12]"
171,172,254, (28.1;-49.1;-13.0),"[""None"": 0.97]",Fusiform_R,"[""Right Fusiform Gyrus"": 0.48][""Right Cerebellum"": 0.26][""Right Cerebellum"": 0.21]","[""Right Culmen"": 0.53][""Right Fusiform Gyrus"": 0.19][""Right Declive"": 0.17][""Right Parahippocampal Gyrus"": 0.11]","[""Right Temporal Occipital Fusiform Cortex"": 0.57][""Right Lingual Gyrus"": 0.33]"
172,173,182, (-8.6;19.9;60.4),"[""None"": 0.99]",Supp_Motor_Area_L,"[""Left SMA"": 0.52][""Left Superior Frontal Gyrus"": 0.30][""Left Superior Medial Gyrus"": 0.18]","[""Left Superior Frontal Gyrus"": 0.88]","[""Left Superior Frontal Gyrus"": 0.89]"
173,174,350, (-0.7;-55.1;38.3),"[""None"": 0.91]",Precuneus_L,"[""Left Precuneus"": 0.53][""Right Precuneus"": 0.36]","[""Right Precuneus"": 0.41][""Left Precuneus"": 0.39]","[""Right Precuneous Cortex"": 0.43][""Left Precuneous Cortex"": 0.33][""Left Cingulate Gyrus; posterior division"": 0.13]"
