sortedNodeID,originalNodeID,NodeGrouping,Node ,AAc-6,regionName,regionLongName,regionIdLabel,LR,region,Lobe,cortex,regionID,Cortex_ID,x-cog,y-cog,z-cog,volmm,broad_region
31,106,9,L_PoI2_ROI,VentralSalience,PoI2_L,Posterior_Insular_Area_2_L,106_L,L,PoI2,Ins,Insular_and_Frontal_Opercular,106,12,131.140744,121.382156,71.041031,2096,Auditory
32,108,9,L_FOP4_ROI,VentralSalience,FOP4_L,Frontal_Opercular_Area_4_L,108_L,L,FOP4,Fr,Insular_and_Frontal_Opercular,108,12,133.429119,138.892173,76.685824,1827,Auditory
33,109,9,L_MI_ROI,VentralSalience,MI_L,Middle_Insular_Area_L,109_L,L,MI,Ins,Insular_and_Frontal_Opercular,109,12,127.923709,136.443075,73.143779,1704,Auditory
34,110,9,L_Pir_ROI,VentralSalience,Pir_L,Pirform_Cortex_L,110_L,L,Pir,Temp,Insular_and_Frontal_Opercular,110,12,122.938706,130.870602,53.682179,881,Auditory
35,111,9,L_AVI_ROI,CentralExecutive,AVI_L,Anterior_Ventral_Insular_Area_L,111_L,L,AVI,Fr,Insular_and_Frontal_Opercular,111,12,121.113485,150.508678,67.823765,749,Auditory
36,112,9,L_AAIC_ROI,CentralExecutive,AAIC_L,Anterior_Agranular_Insula_Complex_L,112_L,L,AAIC,Ins,Insular_and_Frontal_Opercular,112,12,126.225504,139.71902,60.595101,1388,Auditory
37,114,9,L_FOP3_ROI,VentralSalience,FOP3_L,Frontal_Opercular_Area_3_L,114_L,L,FOP3,Ins,Insular_and_Frontal_Opercular,114,12,126,128.96978,84.425824,364,Auditory
38,115,9,L_FOP2_ROI,Somatomotor,FOP2_L,Frontal_Opercular_Area_2_L,115_L,L,FOP2,Fr,Insular_and_Frontal_Opercular,115,12,133.704403,121.251572,85.752621,477,Auditory
39,167,9,L_PoI1_ROI,VentralSalience,PoI1_L,Area_Posterior_Insular_1_L,167_L,L,PoI1,Ins,Insular_and_Frontal_Opercular,167,12,129.839378,113.685665,68.664076,1158,Auditory
40,168,9,L_Ig_ROI,Somatomotor,Ig_L,Insular_Granular_Complex_L,168_L,L,Ig,Ins,Insular_and_Frontal_Opercular,168,12,126.25974,110.064935,86.446429,616,Auditory
41,169,9,L_FOP5_ROI,VentralSalience,FOP5_L,Area_Frontal_Opercular_5_L,169_L,L,FOP5,Fr,Insular_and_Frontal_Opercular,169,12,125.928129,152.826518,75.615861,807,Auditory
42,178,9,L_PI_ROI,VentralSalience,PI_L,Para-Insular_Area_L,178_L,L,PI,Temp,Insular_and_Frontal_Opercular,178,12,134.650549,124.293407,56.102198,910,Auditory
43,286,9,R_PoI2_ROI,VentralSalience,PoI2_R,Posterior_Insular_Area_2_R,306_R,R,PoI2,Ins,Insular_and_Frontal_Opercular,306,12,50.080778,122.827214,71.63067,2315,Auditory
44,288,9,R_FOP4_ROI,VentralSalience,FOP4_R,Frontal_Opercular_Area_4_R,308_R,R,FOP4,Fr,Insular_and_Frontal_Opercular,308,12,50.523336,141.361132,77.437643,1307,Auditory
45,289,9,R_MI_ROI,VentralSalience,MI_R,Middle_Insular_Area_R,309_R,R,MI,Ins,Insular_and_Frontal_Opercular,309,12,52.77037,135.922222,73.7,1350,Auditory
46,290,9,R_Pir_ROI,VentralSalience,Pir_R,Pirform_Cortex_R,310_R,R,Pir,Temp,Insular_and_Frontal_Opercular,310,12,57.555081,133.362084,52.703672,1171,Auditory
47,291,9,R_AVI_ROI,CentralExecutive,AVI_R,Anterior_Ventral_Insular_Area_R,311_R,R,AVI,Ins,Insular_and_Frontal_Opercular,311,12,58.445161,150.95914,67.72043,930,Auditory
48,292,9,R_AAIC_ROI,CentralExecutive,AAIC_R,Anterior_Agranular_Insula_Complex_R,312_R,R,AAIC,Ins,Insular_and_Frontal_Opercular,312,12,54.936552,141.408966,60.337241,1450,Auditory
49,294,9,R_FOP3_ROI,VentralSalience,FOP3_R,Frontal_Opercular_Area_3_R,314_R,R,FOP3,Ins,Insular_and_Frontal_Opercular,314,12,56.149813,133.580524,83.445693,267,Auditory
50,295,9,R_FOP2_ROI,Somatomotor,FOP2_R,Frontal_Opercular_Area_2_R,315_R,R,FOP2,Ins,Insular_and_Frontal_Opercular,315,12,49.524038,122.612981,86.716346,416,Auditory
51,347,9,R_PoI1_ROI,VentralSalience,PoI1_R,Area_Posterior_Insular_1_R,367_R,R,PoI1,Ins,Insular_and_Frontal_Opercular,367,12,52.45642,115.341143,68.178069,1067,Auditory
52,348,9,R_Ig_ROI,Somatomotor,Ig_R,Insular_Granular_Complex_R,368_R,R,Ig,Ins,Insular_and_Frontal_Opercular,368,12,54.984127,112.0839,86.482993,441,Auditory
53,349,9,R_FOP5_ROI,VentralSalience,FOP5_R,Area_Frontal_Opercular_5_R,369_R,R,FOP5,Ins,Insular_and_Frontal_Opercular,369,12,53.738178,153.878893,75.189158,867,Auditory
54,358,9,R_PI_ROI,VentralSalience,PI_R,Para-Insular_Area_R,378_R,R,PI,Temp,Insular_and_Frontal_Opercular,378,12,47.013363,123.157016,57.926503,898,Auditory
55,131,10,L_TGd_ROI,DMN,TGd_L,Area_TG_dorsal_L,131_L,L,TGd,Temp,Lateral_Temporal,131,14,127.26011,137.751977,35.261304,6701,Auditory
56,132,10,L_TE1a_ROI,DMN,TE1a_L,Area_TE1_anterior_L,132_L,L,TE1a,Temp,Lateral_Temporal,132,14,150.202228,122.362624,47.172277,4040,Auditory
57,133,10,L_TE1p_ROI,CentralExecutive,TE1p_L,Area_TE1_posterior_L,133_L,L,TE1p,Temp,Lateral_Temporal,133,14,152.940325,78.805713,61.515946,5111,Auditory
58,134,10,L_TE2a_ROI,CentralExecutive,TE2a_L,Area_TE2_anterior_L,134_L,L,TE2a,Temp,Lateral_Temporal,134,14,148.079856,104.370685,42.029109,3882,Auditory
59,136,10,L_TE2p_ROI,DorsalSalience,TE2p_L,Area_TE2_posterior_L,136_L,L,TE2p,Temp,Lateral_Temporal,136,14,142.182155,83.665679,49.921881,2701,Auditory
60,137,10,L_PHT_ROI,DorsalSalience,PHT_L,Area_PHT_L,137_L,L,PHT,Temp,Lateral_Temporal,137,14,150.083714,66.180795,74.12733,2843,Auditory
61,172,10,L_TGv_ROI,DMN,TGv_L,Area_TG_Ventral_L,172_L,L,TGv,Temp,Lateral_Temporal,172,14,127.497751,123.922939,25.901949,3335,Auditory
62,177,10,L_TE1m_ROI,CentralExecutive,TE1m_L,Area_TE1_Middle_L,177_L,L,TE1m,Temp,Lateral_Temporal,177,14,155.554922,101.395287,54.901178,2631,Auditory
63,311,10,R_TGd_ROI,DMN,TGd_R,Area_TG_dorsal_R,331_R,R,TGd,Temp,Lateral_Temporal,331,14,55.264395,140.071941,34.559763,7103,Auditory
64,312,10,R_TE1a_ROI,DMN,TE1a_R,Area_TE1_anterior_R,332_R,R,TE1a,Temp,Lateral_Temporal,332,14,32.156938,125.713112,43.546788,3409,Auditory
65,313,10,R_TE1p_ROI,CentralExecutive,TE1p_R,Area_TE1_posterior_R,333_R,R,TE1p,Temp,Lateral_Temporal,333,14,27.790845,84.652057,59.44899,4107,Auditory
66,314,10,R_TE2a_ROI,CentralExecutive,TE2a_R,Area_TE2_anterior_R,334_R,R,TE2a,Temp,Lateral_Temporal,334,14,35.763051,107.785779,39.880513,4444,Auditory
67,316,10,R_TE2p_ROI,DorsalSalience,TE2p_R,Area_TE2_posterior_R,336_R,R,TE2p,Temp,Lateral_Temporal,336,14,41.843798,89.348137,49.277693,1959,Auditory
68,317,10,R_PHT_ROI,DorsalSalience,PHT_R,Area_PHT_R,337_R,R,PHT,Temp,Lateral_Temporal,337,14,30.004594,73.093109,65.673201,3265,Auditory
69,352,10,R_TGv_ROI,DMN,TGv_R,Area_TG_Ventral_R,372_R,R,TGv,Temp,Lateral_Temporal,372,14,56.653745,123.570388,25.638589,3431,Auditory
70,357,10,R_TE1m_ROI,CentralExecutive,TE1m_R,Area_TE1_Middle_R,377_R,R,TE1m,Temp,Lateral_Temporal,377,14,26.146605,102.236497,53.246528,2592,Auditory
71,118,11,L_EC_ROI,DMN,EC_L,Entorhinal_Cortex_L,118_L,L,EC,Temp,Medial_Temporal,118,13,111.463631,115.664695,42.698403,1691,Auditory
72,119,11,L_PreS_ROI,DMN,PreS_L,PreSubiculum_L,119_L,L,PreS,Temp,Medial_Temporal,119,13,109.856877,94.634758,60.597584,1076,Auditory
73,120,11,L_H_ROI,DMN,H_L,Hippocampus_L,120_L,L,H,Temp,Medial_Temporal,120,13,120.203438,102.589542,54.63467,1396,Auditory
74,122,11,L_PeEc_ROI,DMN,PeEc_L,Perirhinal_Ectorhinal_Cortex_L,122_L,L,PeEc,Temp,Medial_Temporal,122,13,120.292051,116.757071,38.222388,3359,Auditory
75,126,11,L_PHA1_ROI,DMN,PHA1_L,ParaHippocampal_Area_1_L,126_L,L,PHA1,Temp,Medial_Temporal,126,13,111.705833,90.678333,55.309167,1200,Auditory
76,127,11,L_PHA3_ROI,DMN,PHA3_L,ParaHippocampal_Area_3_L,127_L,L,PHA3,Temp,Medial_Temporal,127,13,124.479062,90.840871,51.123953,1194,Auditory
